match_id,label,engage_delta,catch_delta,range_delta,tankiness_delta,dpm_delta,synergy_delta,counter_delta
NA1_5488644464,1,4,0,325,1098.97779159825,-67.93141115304,-0.137765222091988,0.0
NA1_5519004419,1,4,-1,-300,147.283301946146,-335.894121567898,0.2677838436029265,-0.1
NA1_5518673561,0,4,1,-375,-1125.43488471698,270.427030016538,0.07644855232962137,-1.2452380952380953
NA1_5518960297,1,5,1,0,152.094283145972,645.275658925551,-0.49306644473193273,-0.31933621933621936
NA1_5519105211,0,5,0,-225,827.815753499021,-198.729403511417,-0.19442838834818088,-0.17142857142857143
NA1_5518803601,0,6,1,1000,-1708.67092285107,7.658717006575,-0.27245624703238636,-0.4
NA1_5518538433,0,6,2,455,957.128025347844,-745.831505948548,0.17634450676057561,-0.2
NA1_5519021854,0,4,1,-750,842.095472620936,-407.755493635099,0.04041535909496483,0.041666666666666664
NA1_5512353721,1,6,0,-450,779.188508641181,-584.480270490178,-0.050709305658274174,-0.43322510822510824
NA1_5519246846,1,2,1,0,1011.72122695916,1495.925809853335,-0.10378811243070966,0.36631652661064423
NA1_5519154046,1,4,0,175,-140.392232366929,-363.431599574378,0.06146863647454897,0.02857142857142857
NA1_5506445826,1,4,-2,-325,-292.048121284136,200.335694264263,0.29778557912750936,-0.030952380952380953
NA1_5511435078,1,4,0,-100,-444.749273360548,-157.475483416489,0.3434839098084245,0.3333333333333333
NA1_5517125995,1,7,2,25,1246.73201270924,-655.381122801502,0.08039013304442175,0.5314025346634043
NA1_5519075948,0,5,2,-450,546.617555466103,33.151155329658,-0.31476343095697884,0.7936507936507936
NA1_5507064427,0,4,-1,950,-125.798583728908,465.802246836019,-0.21266816717759418,0.4714285714285714
NA1_5519082537,0,4,1,-125,-908.232442947148,-460.383924126413,0.1400249984532478,0.3847041847041847
NA1_5519081450,0,5,1,150,666.217812477861,43.11943578168,-0.08300424937242787,-1.0454545454545454
NA1_5517772234,1,4,1,425,-726.154424628041,349.055092126382,-0.35136433473378853,0.03015873015873016
NA1_5518947284,0,1,1,25,408.498693185867,1005.613588979555,-0.4996343480067672,-0.5
NA1_5515829380,0,5,2,-225,492.453073738943,-735.72355411154,0.11162234673495317,-0.30173160173160174
NA1_5519080392,0,5,1,-500,815.823956595429,-471.089318819362,0.2553010771096075,-0.1997030747030747
